"states","Appropriateness_of_Display","Automaticity","AvoidanceApproach","Certainty","Complexity","Concreteness","Contagiousness","Familiarity","Frequency","Human_Mind","Intentionality","Morality","Perceptibility","Rationality","Social_Impact","Valence","see.face","hear.tone","hear.other","touch","see.posture","see.other","smell","taste","none","Actionspecificity","Agedependency","Beginning_Abruptness","Competitiveness","Contextspecificity","Cooperation","Differentiated_Experience","Duration","Ending_Abruptness","Intermediacy","Introspective_Value","Learning","Predictability","Simultaneity","Social_Distance","Traitdiagnostic","Traitlikeness","Agency","Experience","High.Arousal","Low.Arousal","Body","Mind","Emotion","Reason","Positive","Negative","Shared","Unique","Social","Non.Social","Warmth","Competence"
"Contemplation",0.555660492973368,-0.509502032036684,0.4778393209031,-0.18285562957061,0.656175491427853,-0.149768474187651,-0.32171809042207,0.316936157412543,0.322414969240649,0.664333043122652,0.676904753860537,0.48057147770695,-0.220625855447111,0.606503144572567,-0.463682711576924,0.445956000768072,0.75,0.519230769230769,0.230769230769231,0.0384615384615385,0.326923076923077,0.192307692307692,0,0,0.0576923076923077,-0.255738534850679,0.272118735422607,-0.54846413277693,0.0707823835422902,-0.254976124347731,0.146407108073666,0.324508342023975,-0.0893156770306835,-0.115587604495046,0.140482897805979,0.32301489633229,0.784439377024755,0.131580880961965,0.182567040187841,0.19179450844505,-0.143826104560031,-0.000900728558875709,0.575,0.51667,0.37121,0.62121,0.10156,0.94531,0.31897,0.76724,0.73381,0.20863,0.34815,0.65185,0.26316,0.85088,0.23134,0.64179
"Craziness",-1.25993248806008,0.421939737936392,-0.926820685908125,-0.905778564230713,0.424287495019555,-0.28954363637776,-0.401081487240515,-0.58994190115781,-1.02966452116782,0.0509988499080461,-0.621506917592851,-0.924264290969087,-0.0944532300658656,-0.630632832648335,0.465898086653191,-1.01668265257085,0.711538461538462,0.692307692307692,0.346153846153846,0.0769230769230769,0.615384615384615,0.461538461538462,0.0384615384615385,0,0.0961538461538462,-0.764442369182547,-0.191630279941027,0.289711059732605,-0.196266769505008,-0.484029828763769,-0.650275096621876,0.703805031631808,0.098494923940084,0.18767706547971,-0.209587618031512,-0.549600133080325,-0.672251559079853,-1.04388021809064,-0.230418467317183,-0.245011560792208,0.37297742486179,0.199753582625198,0.30579,0.7438,0.82812,0.17188,0.28333,0.925,0.70079,0.26772,0.29545,0.81061,0.60294,0.40441,0.48598,0.71028,0.17969,0.28906
"Curiosity",0.756829343046106,0.189431580924713,0.927447468765805,-0.360622539869768,0.297713193337637,-0.229808025434858,0.691170988931717,0.524773069143875,0.724185772710994,0.173718647430861,0.139396057656175,0.404464437692477,0.0481992338670345,0.166296132637048,0.09547566675381,0.79766763551606,0.673076923076923,0.634615384615385,0.288461538461538,0.0384615384615385,0.403846153846154,0.269230769230769,0.0192307692307692,0.0192307692307692,0.0384615384615385,-0.0528123324941963,-0.0831925376881446,0.448873347302623,-0.0449667746862276,-0.264149900781872,0.400061240276506,0.555430993165852,-0.164392787782124,0.544684035603638,0.0637033642886548,0.427661385271638,0.911790244365498,0.0452915019534948,0.487609220741345,-0.104162081412994,0.149387365026033,0.407195392741566,0.42063,0.70635,0.75373,0.26119,0.11382,0.93496,0.56557,0.53279,0.85185,0.22963,0.82707,0.24812,0.62281,0.65789,0.45312,0.57031
"Decision",0.71756185889801,-0.876707736876829,0.64050816859885,0.896498608560222,0.416761126410886,0.381372452944871,-0.262364332393253,0.573112953334705,0.819798233744817,0.437054711094509,0.877145268913954,0.444758516194192,-0.878686791462949,1.08372552493176,0.659890350191815,0.590181753077483,0.480769230769231,0.423076923076923,0.307692307692308,0,0.269230769230769,0.153846153846154,0,0,0.307692307692308,0.293340695316785,0.335135821401724,0.366335141689,0.589961644980968,0.38662946153945,0.666480050792242,0.382651400352151,-0.344802512506566,0.585844600696161,-0.0541815831377863,0.535965185573102,0.859869245495723,0.240421935267175,-0.223937745109803,0.338116389137726,0.0198461729435369,0.474118820362828,0.79528,0.33071,0.49612,0.28682,0.14062,0.92188,0.17213,0.86885,0.68794,0.19858,0.63846,0.37692,0.58333,0.66667,0.12214,0.79389
"Desire",-0.086200564392566,0.440561090422153,0.800268930159471,0.553503411727481,-0.352378190283042,-0.0773256206042556,0.41666540623396,0.393665113341056,0.454655620639427,-0.30015817176776,-0.130873739412403,-0.071225705134908,0.26056982873942,-0.728068769933425,0.3715884706969,0.58735565616531,0.730769230769231,0.711538461538462,0.288461538461538,0.288461538461538,0.634615384615385,0.365384615384615,0.0961538461538462,0.0769230769230769,0.0384615384615385,0.204013759197898,0.0357957427374875,0.647587344937394,0.393327088806946,0.427829842802554,0.264498659047581,0.267734968198333,0.215174702547287,0.343280713144188,0.274730906106328,0.296168887724821,-0.200004777050382,0.0994229392993034,0.3492423761274,0.821760444126968,0.145345492011062,-0.0857652193228135,0.39167,0.81667,0.88235,0.10294,0.54545,0.84298,0.88136,0.23729,0.87755,0.26531,0.74074,0.31852,0.7193,0.52632,0.70922,0.20567
"Disarray",-1.06734048063409,0.0144529182419949,-0.997516279299003,-1.10163099623049,-0.0380268559079154,-0.157859717478278,-0.200357907902124,-0.801439209360295,-0.772263661932809,-0.231689044917144,-0.496720780196211,-0.963239641325449,-0.056867605878653,-0.0433322493571063,-0.161301917279593,-1.03433198390456,0.557692307692308,0.365384615384615,0.211538461538462,0.0384615384615385,0.442307692307692,0.423076923076923,0.0576923076923077,0,0.134615384615385,-0.559139159441801,-0.241162985032143,0.133891405119618,-0.429739964675815,-0.416892597140491,-0.708802505902096,-0.211882785531195,0.034523484423477,-0.0500210252788665,0.036572045456915,-0.805900360940391,-0.588969579579261,-0.41092765535237,-0.241497185460362,-0.644509765792673,-0.109297946053207,-0.392613304142975,0.32759,0.61207,0.44186,0.41085,0.33871,0.78226,0.46667,0.34167,0.041379,0.88276,0.43972,0.52482,0.33913,0.58261,0.15909,0.40152
"Disgust",-0.925514132179123,0.435014775379783,-1.23937316997815,-0.0893298397747612,-0.422240315922018,0.371428066333385,0.302100433398331,-0.195736738947497,-0.522697697073936,0.293000036648465,-0.613400889757731,-0.841173418356784,0.588030454158602,-0.656989016516809,-0.293144680771789,-1.23872678890133,0.903846153846154,0.692307692307692,0.346153846153846,0.153846153846154,0.576923076923077,0.307692307692308,0.173076923076923,0.153846153846154,0,-0.117060837929027,-0.250005689619035,0.737433172209965,-0.335394777721588,0.294778001468717,-0.724143419534881,-0.150149239497979,-0.839424577154167,0.293519070511125,0.0564777244126392,-0.350490087129848,-0.595534531023777,0.107744064304771,-0.188998170061755,-0.795794538242235,-0.00918974444388181,-0.70298370076821,0.21875,0.79688,0.67407,0.31852,0.34959,0.9187,0.87395,0.2437,0.02069,0.97241,0.50769,0.47692,0.52252,0.68468,0.38931,0.15267
"Distrust",-0.738463449298019,0.055960343352435,-1.09614593417324,-1.04749156768514,0.0541531707491529,-0.169631557895442,0.335179068509111,-0.106862712036634,-0.248174312743201,0.189066827824882,-0.238914743525937,-0.801394268187137,-0.157221693586869,0.0520132105260182,0.194274428718262,-1.11369079920294,0.75,0.865384615384615,0.307692307692308,0.0384615384615385,0.557692307692308,0.326923076923077,0,0,0.0576923076923077,-0.204132988083097,0.207398149821589,0.140596916327715,0.0476939215248608,-0.118036110971216,-0.678861970488731,-0.0646243407116967,0.361384022464614,-0.133348616495841,0.058686739552012,-0.384369751112243,-0.208178120664383,-0.355806000631862,-0.216416550328684,-1.2593787469985,0.0781738195444699,0.173173479845092,0.416,0.672,0.48889,0.39259,0.13115,0.91803,0.71186,0.50847,0.047945,0.94521,0.69173,0.30827,0.67593,0.53704,0.37313,0.30597
"Dominance",-0.617298509245997,-0.672089554477927,0.0470518911196993,0.616251983672997,0.205430787741498,0.422078004677741,-0.495534315210497,-0.256956495647194,-0.397904301113398,-0.515239195995678,0.394368381557209,-0.615701809162836,0.146024614772059,0.338126073631355,0.780927492852138,-0.292976176939147,0.653846153846154,0.788461538461538,0.230769230769231,0.173076923076923,0.826923076923077,0.25,0,0,0.0192307692307692,0.125569857470535,0.291153671630766,0.0724804313349958,0.707303716800328,-0.0877334486016549,-0.252682401365497,-0.04337596052292,0.504287942692057,0.000581443877271414,-0.408632685078378,-0.0621082169157271,0.00638715086722904,0.161250532414198,-0.147980563913849,-0.327129349110184,0.493537060484013,0.56558561868339,0.5873,0.46825,0.72581,0.17742,0.45,0.79167,0.37815,0.46218,0.37143,0.52143,0.88148,0.20741,0.81579,0.32456,0.21094,0.57812
"Drunkenness",-1.60123266664263,-0.849350758129513,-0.981917839683787,-0.662051560476098,-0.550819698572416,0.649183958645112,-0.574176294583684,-0.661992652684247,-1.04168568938126,-0.628317712967303,0.404458795888319,-1.84416572629515,1.05610042290116,-0.127823505723716,0.180634400732713,-1.30973655657955,0.788461538461538,0.769230769230769,0.461538461538462,0.153846153846154,0.923076923076923,0.519230769230769,0.692307692307692,0.134615384615385,0.0192307692307692,-0.649507384355581,0.0278721538578513,-0.349776833424466,-0.976184513202002,0.190231454344981,-0.703555303372066,-0.393615452892638,-0.338732224300408,-0.57422725946883,-0.105027000881376,-0.883470779693477,-0.819820452990686,0.159172053652251,-0.468244367113184,-0.452688805640287,-0.089459553924624,-1.12469961785237,0.3254,0.70635,0.47692,0.48462,0.87705,0.72951,0.34167,0.30833,0.20805,0.79195,0.34286,0.65,0.58036,0.58036,0.21739,0.32609
