V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
0.343718414,-0.138863658,0.099075361,-0.025305794,0.196467664,4.36E-05,-0.031253157,-0.013030875,0.00644941,-0.236726213,-0.333211161,0.008471946,0.008617323,0.13881277,-0.155181161,0.135304195,0.358508786,0.234483935,0.063328803,0.19969566,-0.236581603,0.209300035,-0.187624528,-0.258183842,-0.003443409,0.016733916,0.167129798,-0.046803814,-0.296486185
0.201666099,-0.13772651,-0.18633193,0.177455837,-0.443697578,0.173778672,0.056617143,0.057365709,-0.008952148,0.07891125,0.135595598,-0.221496952,0.048129717,-0.024793725,-0.04684132,0.140857795,-0.33452553,0.444313077,0.163315045,-0.284057504,-0.195530406,0.112718168,0.108509285,0.073065586,0.081986512,-0.216057581,0.182363135,-0.124064693,-0.241347181
-0.176979603,-0.105331184,0.152231942,0.00607882,-0.3434333,0.059362561,-0.005408493,0.065017291,0.092153469,0.153370086,0.162907175,0.231080111,0.253736331,0.188890032,-0.255668192,0.061637156,-0.254642587,-0.323214692,-0.049805683,-0.456493389,0.150842668,0.013888355,0.211222597,-0.40443752,0.019836264,-0.012988798,-0.090442106,-0.428828707,0.38392875
0.158707818,-0.287091684,-0.154440148,-0.134821326,-0.115631138,0.087565543,0.156179813,0.016203896,0.111903302,0.35283302,0.110096995,0.035458972,-0.239642545,0.04233189,-0.043548886,0.075028872,0.398556232,-0.165372655,-0.016179498,0.182692711,-0.018284073,0.103012239,0.149979409,0.065203411,-0.102170628,0.070067305,-0.04207533,0.088998124,-0.317437264
-0.041378328,-0.137615887,-0.234626412,-0.21387186,0.276374486,-0.051535376,0.037846535,0.229679464,-0.030440762,-0.080274947,-0.074957662,-0.162934455,-0.316494197,0.120147253,0.11011667,0.031546685,0.254153353,0.351056415,0.169538651,0.073953929,-0.088703454,-0.209519745,-0.110836681,-0.275741432,0.146398383,0.108674379,-0.473388146,0.017173217,0.125822614
0.041468656,0.252349889,-0.137581345,-0.297818708,-0.375834163,0.303109288,-0.182892255,0.085260632,-0.380210722,-0.204989145,-0.267994403,0.265699535,0.191608943,-0.040909814,0.232779697,0.099715507,0.235825593,0.148912413,0.061550666,-0.242620142,0.095912855,0.22220948,-0.285700277,0.085664078,0.086073637,-0.002531606,-0.303771227,-0.134877402,-0.489354197
-0.092351654,0.244936211,-0.057722458,0.442987953,0.351695077,-0.377095753,-0.125389012,0.16349285,0.020708742,0.312185018,0.013680266,-0.010040544,-0.031941528,-0.283943014,-0.00809473,0.099936947,0.065067427,0.336459049,-0.001421673,0.202791928,0.381194637,-0.315248601,0.123585227,-0.026259723,0.032385766,-0.103897995,0.184816148,0.182747709,0.260926364
0.144820813,0.076428761,-0.069111015,0.176676452,-0.140803336,0.336984183,-0.179881328,-0.2800934,-0.208675668,-0.254966093,-0.121716923,-0.178313781,0.024918426,-0.142104546,0.065723303,-0.22506056,-0.052434359,-0.200766309,0.005772001,0.188327925,0.064255332,0.126597443,0.009113464,0.049355573,-0.140986563,0.052012731,-0.245448423,-0.239917933,0.233933408
0.062916026,-0.144392447,-0.022911626,0.027986485,-0.045886201,-0.01714932,-0.078846918,-0.31003965,0.130862538,-0.273680811,0.113487711,0.060358063,0.236307167,-0.093182238,0.227209532,-0.265126422,0.027394391,-0.145138382,-0.098898833,-0.048840919,-0.220153066,-0.305947287,0.169639867,0.415008268,-0.231889807,-0.011287679,-0.109660366,-0.055824096,-0.291228987
-0.162941394,0.089322585,0.086253303,0.09176967,0.406967049,-0.015365714,-0.023151557,0.01577246,0.050998387,0.43381059,0.123210064,0.334127396,0.252647251,0.201288835,0.313256998,0.177465168,0.094343991,-0.314565914,0.160109579,-0.139146392,0.323716395,-0.117318982,0.134292804,0.184684256,-0.158238301,0.058657996,0.260465666,-0.126230198,0.017223699
0.331270682,-0.186079992,0.327807847,0.262731525,-0.031363791,-0.223533452,0.055143271,-0.084287406,-0.23748376,0.012490148,-0.094411133,-0.197075552,0.08843617,-0.105140676,-0.025052104,-0.448001463,-0.098441462,-0.206387054,0.214577135,-0.284204762,-0.235399217,0.002989096,-0.037949178,0.199649602,0.079829013,0.089019632,0.252551512,-0.445076583,0.286678393
-0.069589037,-0.202377577,-0.001853882,-0.02189142,-0.220607468,-0.199196518,-0.261509502,-0.052453596,-0.131526014,-0.310073024,-0.157502388,0.130857477,-0.187876702,-0.01531047,-0.059140541,-0.120299265,0.072385572,-0.345517996,0.050509576,-0.287961138,-0.267368206,-0.076345815,-0.04279215,-0.158410011,0.162471076,0.054382885,-0.073587078,-0.160255114,-0.04480496
0.089138666,0.028121464,0.095950764,0.156342371,0.003725565,-0.201937342,0.156302472,0.125387603,0.206002741,-0.33986409,0.090794076,-0.11460176,-0.314839467,0.283302049,-0.331278199,-0.166159557,0.291650167,0.02411904,0.213059105,-0.124508659,0.092353878,-0.146585394,0.136017024,-0.295265367,0.115021383,-0.074738205,-0.028414374,-0.151884434,0.275236052
0.215042824,-0.274734445,0.038245984,-0.280230341,0.280860874,-0.109517821,0.135725334,-0.013743768,0.019490346,0.024617772,-0.015220513,-0.016789938,-0.084430633,0.139546571,-0.002652896,0.015538173,0.445798684,-0.26196764,-0.32309244,0.476899579,0.44406378,-0.228307995,-0.055992407,0.094319644,-0.300748358,0.070052851,-0.094658146,-0.20963138,-0.123034618
-0.412959435,0.110136543,-0.142111345,-0.231394347,-0.449985547,-0.157369956,-0.034043324,-0.052762163,-0.283871309,-0.103536252,0.036475826,0.111690737,-0.124843125,0.036949603,0.073486154,-0.16839106,0.157129051,-0.33805085,0.053840273,-0.120283806,0.027195311,-0.44258704,0.202290371,-0.419693383,-0.177368556,0.010639894,0.29744554,-0.121746647,-0.118131233
0.234393729,-0.159022371,-0.03476197,-0.035058773,-0.353053323,-0.400153381,-0.007496242,-0.308716343,0.236598137,-0.462512388,0.065042965,-0.072702292,-0.081201342,-0.264983449,-0.193150445,-0.096531594,-0.222531136,-0.212262322,-0.021570888,0.036134683,0.039966508,0.216757235,0.14530566,0.142592242,0.172211182,-0.075873355,-0.240751162,0.13809698,-0.048832866
0.023967757,-0.253984541,0.007113048,-0.244297763,0.42551467,0.224516116,-0.068909042,0.059787369,0.113179277,0.367978444,-0.022598532,-0.068054154,0.159361276,0.208116609,0.427835848,0.082070197,-0.177367533,-0.043735849,-0.029520839,0.31649451,-0.289200713,-0.370019548,-0.015863785,-0.347908455,-0.183410229,0.011655991,-0.29593804,-0.056185763,0.235717606
0.357178965,0.111102366,0.167077573,-0.488732069,0.015707106,-0.107709034,0.18004512,-0.232355413,0.055496365,0.225231066,0.006594445,0.00430403,0.336050556,-0.291575684,0.239333332,0.157202416,-0.331341931,0.573098176,-0.029958781,-0.093781253,0.207351256,-0.215103481,0.147384787,-0.013474706,0.07791028,-0.036838417,0.143061594,0.181865062,-0.10940525
-0.016976291,-0.189374512,-0.119818134,0.051141458,-0.248576457,-0.224795379,-0.017031877,0.112088616,-0.25668938,0.074477156,-0.106677094,0.15479245,0.100230688,-0.159234548,-0.157652224,-0.149147505,0.201174595,0.365035882,-0.027291696,0.263037485,-0.060353572,0.169451148,0.113436511,0.083770653,0.173078171,0.033950095,0.361718571,0.263718143,-0.252906052
0.152010221,-0.057586206,-0.234417936,-0.277291029,0.232147822,-0.071766986,0.222340633,-0.058132558,0.139525826,0.240183789,-0.049847522,-0.160979328,-0.122934429,0.018793747,0.097441087,-0.286531558,-0.040609048,0.214824773,-0.061146527,-0.135110464,-0.232450173,0.247730323,-0.090341455,0.222158731,0.228536954,0.214620993,0.238716011,0.339164045,0.054438163
-0.031699298,0.024083883,-0.381726576,0.123940297,-0.35164912,-0.02143882,-0.041168445,-0.127645653,0.092983324,0.188021607,-0.062776541,-0.054198,-0.156441231,0.153823456,-0.240157082,-0.297171315,-0.134814701,0.195140289,0.415297299,0.326481307,0.144238508,0.121368387,0.10900184,0.131304036,0.168552051,0.069227002,-0.000447442,0.060655667,0.293355561
-0.03111337,0.118320583,0.088947321,-0.031766069,0.065496937,-0.274577013,-0.215877901,-0.079841873,0.025671119,0.205399269,0.246087304,0.258840938,-0.108763227,-0.174827303,0.057196926,-0.172964287,0.068032757,0.126985439,0.109445576,0.27686458,0.220002868,-0.140119701,-0.093962302,0.251083337,-0.194704384,-0.130294059,0.21168108,-0.086723672,-0.104164498
0.122586589,0.334574343,-0.620014619,0.122813295,0.218912016,0.058150702,0.03080773,-0.154424952,-0.056266898,0.036525789,-0.04011288,0.517074871,-0.125249605,0.360952837,0.383949432,-0.234425618,0.077066821,0.100409841,0.386575001,0.176801685,-0.017197507,-0.067280329,0.044159831,0.079202604,-0.021299429,0.19476255,0.164321348,-0.197090228,0.11547367
-0.145545135,-0.048799045,-0.626460086,-0.053263136,0.267706766,-0.292660843,-0.263277512,0.159601665,-0.296622121,-0.136404664,-0.050332946,0.296577763,-0.191277023,0.077862981,-0.067127962,0.086245696,0.079121827,-0.042837937,-0.148168412,0.032588765,0.172187132,0.167449684,-0.138847593,0.13580024,0.109852114,0.101052964,-0.325956551,0.100359994,-0.053264649
